angry,disgust,fear,happy,neutral,sad,suprise
C:\Users\saikr\Desktop\data\train\angry\Training_99949469.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_7975772.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_663754.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_505141.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_953524.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1201574.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_348814.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99957517.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_8004276.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_682406.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_512121.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_954435.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1207013.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_353184.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99966135.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_8514439.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_687294.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_526145.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_959639.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1357189.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_359386.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99982465.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_8536264.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_698141.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_529327.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_964550.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1361521.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_372122.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_3908.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_8819454.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_713338.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_535814.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_980544.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1362985.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_374584.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_33331.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_8819879.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_720718.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_536466.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_995545.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1369050.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_377657.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_63181.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_8937293.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_737388.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_539738.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1017299.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1382203.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_387312.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_143373.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_9567515.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_743712.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_582538.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1033260.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1388352.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_438558.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_161824.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_9948239.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_747454.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_597242.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1047878.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1389436.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_464732.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_175233.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_10371709.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_816791.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_607875.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1092697.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1389634.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_484328.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_178362.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_10598340.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_849901.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_623077.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1158961.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1419284.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_546962.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_211850.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_11050021.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_851033.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_625682.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1171172.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1425995.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_550569.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_233976.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_11550217.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_853892.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_666810.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1204614.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1436609.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_598323.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_247656.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_11652168.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_893818.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_679787.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1221020.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1441647.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_646132.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_256301.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_11660541.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_907677.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_681715.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1234249.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1444262.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_694448.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_267631.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_11732399.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_940105.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_685806.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1247674.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1466534.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_730547.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_332231.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_11753994.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_966854.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_730043.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1258778.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1513062.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_734790.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_345125.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_11871637.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_974165.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_748777.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1288257.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1532812.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_735050.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_364963.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_11946126.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_977035.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_765099.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1300191.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1580381.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_736311.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_397587.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_12026955.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1018372.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_784942.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1314156.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1631226.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_737165.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_426842.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_12096769.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1040092.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_795400.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1324646.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1655654.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_791744.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_434813.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_12122862.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1044537.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_799909.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1385299.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1676697.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_797925.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_435383.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_12525818.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1071075.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_808814.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1385833.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1715387.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_860918.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_450201.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_12896398.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1077665.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_815036.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1392479.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1732354.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_870398.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_556531.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_12950225.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1096438.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_830377.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1402522.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1785718.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_941343.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_596387.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_13362748.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1102996.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_831592.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1465683.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1826820.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_976799.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_621487.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_13647830.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1111052.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_832034.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1476281.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1847322.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_991508.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_637496.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_13740441.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1113080.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_839482.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1510389.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1855331.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1002457.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_661131.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_13902995.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1139919.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_842233.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1515781.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1892957.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1009179.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_795269.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_13949642.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1184327.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_879015.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1551250.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1916256.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1047709.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_803556.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_14049546.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1217122.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_926400.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1568564.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1928268.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1062767.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_829350.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_14064382.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1243339.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_932739.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1585712.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1949133.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1075765.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_830549.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_14124662.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1243725.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_958922.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1586585.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1956927.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1081053.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_842577.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_14528146.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1251371.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_961713.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1590170.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1963615.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1082705.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_859859.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_14719775.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1339266.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_970115.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1591272.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1984179.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1090673.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_872654.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_15104479.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1369871.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_984845.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1615201.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2007755.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1185326.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_964885.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_15256337.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1370612.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1018317.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1615815.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2047378.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1226915.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_980394.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_15293498.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1371947.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1027250.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1624590.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2059327.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1353800.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_983506.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_15485143.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1383640.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1041361.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1655060.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2063449.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1359028.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_992349.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_16203955.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1420017.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1065829.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1661949.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2153766.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1428120.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_999232.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_16391066.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1440087.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1122712.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1703575.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2155073.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1431119.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1021836.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_16497482.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1483019.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1129986.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1721855.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2168584.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1474328.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1119091.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_16806541.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1497603.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1142887.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1725421.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2176007.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1525314.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1120923.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_17174181.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1508040.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1151951.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1726228.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2178784.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1603608.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1127865.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_17705855.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1521469.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1154270.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1774834.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2192566.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1617948.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1133567.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_18270362.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1549498.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1154381.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1784938.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2197476.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1676849.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1173634.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_18375779.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1576319.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1155391.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1785793.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2201477.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1704054.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1184435.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_18584683.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1603531.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1161132.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1797671.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2206771.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1730563.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1193977.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_18809541.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1617037.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1193951.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1800641.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2212223.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1774788.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_1294170.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_19204784.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_1650452.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_1195432.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_1811581.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_2233333.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_1817980.jpg
